iter	Passed	Remaining
1490	14225	462810
1491	14233	462775
1492	14242	462737
1493	14252	462751
1494	14262	462734
1495	14271	462720
1496	14281	462733
1497	14292	462750
1498	14304	462831
1499	14316	462897
1500	14325	462881
1501	14336	462897
1502	14344	462856
1503	14352	462805
1504	14361	462763
1505	14371	462772
1506	14379	462710
1507	14388	462686
1508	14397	462670
1509	14409	462716
1510	14418	462696
1511	14427	462657
1512	14436	462641
1513	14445	462616
1514	14454	462581
1515	14464	462589
1516	14472	462540
1517	14481	462515
1518	14490	462472
1519	14498	462441
1520	14508	462422
1521	14517	462405
1522	14526	462391
1523	14536	462377
1524	14545	462347
1525	14555	462365
1526	14566	462383
1527	14578	462455
1528	14589	462494
1529	14598	462489
1530	14607	462463
1531	14616	462428
1532	14625	462382
1533	14633	462343
1534	14642	462324
1535	14652	462316
1536	14661	462284
1537	14670	462278
1538	14680	462259
1539	14688	462219
1540	14697	462192
1541	14706	462172
1542	14715	462143
1543	14724	462095
1544	14732	462056
1545	14741	462028
1546	14751	462012
1547	14759	461982
1548	14767	461926
1549	14779	461968
1550	14788	461945
1551	14798	461946
1552	14807	461929
1553	14815	461886
1554	14826	461914
1555	14837	461940
1556	14847	461942
1557	14858	461986
1558	14866	461931
1559	14875	461889
1560	14884	461864
1561	14892	461818
1562	14902	461815
1563	14910	461764
1564	14919	461738
1565	14928	461712
1566	14937	461697
1567	14947	461683
1568	14955	461652
1569	14970	461789
1570	14978	461754
1571	14987	461699
1572	14995	461658
1573	15004	461619
1574	15012	461573
1575	15021	461538
1576	15029	461505
1577	15038	461454
1578	15046	461424
1579	15055	461375
1580	15063	461330
1581	15072	461305
1582	15081	461266
1583	15089	461217
1584	15099	461224
1585	15107	461172
1586	15116	461135
1587	15124	461096
1588	15133	461050
1589	15143	461056
1590	15152	461037
1591	15161	461008
1592	15169	460961
1593	15178	460940
1594	15187	460923
1595	15196	460891
1596	15205	460869
1597	15215	460868
1598	15224	460842
1599	15235	460882
1600	15245	460872
1601	15254	460848
1602	15263	460820
1603	15273	460818
1604	15281	460789
1605	15290	460760
1606	15299	460741
1607	15308	460706
1608	15318	460702
1609	15328	460716
1610	15338	460719
1611	15350	460779
1612	15359	460747
1613	15369	460747
1614	15377	460714
1615	15386	460677
1616	15396	460683
1617	15406	460704
1618	15442	461468
1619	15452	461465
1620	15461	461450
1621	15472	461496
1622	15483	461525
1623	15494	461551
1624	15503	461533
1625	15513	461519
1626	15521	461484
1627	15530	461461
1628	15539	461419
1629	15550	461446
1630	15559	461429
1631	15568	461408
1632	15577	461388
1633	15586	461353
1634	15595	461329
1635	15604	461304
1636	15613	461278
1637	15624	461322
1638	15635	461334
1639	15643	461296
1640	15651	461250
1641	15661	461242
1642	15670	461205
1643	15678	461158
1644	15690	461215
1645	15703	461331
1646	15713	461324
1647	15726	461419
1648	15735	461397
1649	15763	461912
1650	16132	472423
1651	16235	475141
1652	16455	481288
1653	16614	485626
1654	16653	486479
1655	16670	486651
1656	16691	486981
1657	16703	487023
1658	16717	487132
1659	16730	487211
1660	17038	495857
1661	17215	500705
1662	17241	501131
1663	17270	501660
1664	17300	502229
1665	17389	504517
1666	17422	505155
1667	17422	505155
1668	17599	509961
1669	17698	512503
